County of Residence,County of Residence Code,Births_MM,percent_MM,Avg_Age_MM,Average OE Gestational Age (weeks)_MM,Average LMP Gestational Age (weeks)_MM,Average Birth Weight (grams)_MM,Average Pre-pregnancy BMI_MM,Average Number of Prenatal Visits_MM,Average Interval Since Last Live Birth (months)_MM,Average Interval Since Last Other Pregnancy Outcome (months)_MM,Births_noMM,% of Total Births_noMM,Average Age of Mother (years)_noMM,Average OE Gestational Age (weeks)_noMM,Average LMP Gestational Age (weeks)_noMM,Average Birth Weight (grams)_noMM,Average Pre-pregnancy BMI_noMM,Average Number of Prenatal Visits_noMM,Average Interval Since Last Live Birth (months)_noMM,Average Interval Since Last Other Pregnancy Outcome (months)_noMM,county-id
"Shelby County, AL",1117.0,2285.0,0.06,29.43,38.27,38.41,3262.7,28.11,10.88,49.48,47.56,2285.0,0.06%,29.43,38.27,38.41,3262.7,28.11,10.88,49.48,47.56,1117
"Tuscaloosa County, AL",1125.0,2437.0,0.07,27.85,37.92,38.13,3144.09,28.55,9.52,49.83,49.75,2437.0,0.07%,27.85,37.92,38.13,3144.09,28.55,9.52,49.83,49.75,1125
"Unidentified Counties, AL",1999.0,22894.0,0.63,26.98,38.06,38.27,3198.66,29.06,10.32,49.83,47.74,22894.0,0.63%,26.98,38.06,38.27,3198.66,29.06,10.32,49.83,47.74,1999
"Anchorage Borough, AK",2020.0,3489.0,0.1,29.31,38.43,38.56,3337.15,28.09,10.58,44.48,48.57,3489.0,0.10%,29.31,38.43,38.56,3337.15,28.09,10.58,44.48,48.57,2020
"Unidentified Counties, AK",2999.0,5595.0,0.16,28.71,38.5,38.67,3391.32,27.46,10.63,44.4,50.38,5595.0,0.16%,28.71,38.5,38.67,3391.32,27.46,10.63,44.4,50.38,2999
"Cochise County, AZ",4003.0,1234.0,0.03,27.88,38.38,38.48,3212.29,28.04,9.56,50.17,55.72,1234.0,0.03%,27.88,38.38,38.48,3212.29,28.04,9.56,50.17,55.72,4003
"Coconino County, AZ",4005.0,1273.0,0.04,28.82,38.62,38.71,3227.47,27.59,10.01,49.59,49.89,1273.0,0.04%,28.82,38.62,38.71,3227.47,27.59,10.01,49.59,49.89,4005
"Maricopa County, AZ",4013.0,49757.0,1.38,29.08,38.38,38.49,3274.25,27.63,11.05,50.59,54.74,49757.0,1.38%,29.08,38.38,38.49,3274.25,27.63,11.05,50.59,54.74,4013
"Mohave County, AZ",4015.0,1790.0,0.05,27.73,38.49,38.8,3265.91,27.69,10.5,49.25,47.31,1790.0,0.05%,27.73,38.49,38.8,3265.91,27.69,10.5,49.25,47.31,4015
"Navajo County, AZ",4017.0,1174.0,0.03,27.74,38.23,38.33,3210.74,28.64,9.8,48.4,54.44,1174.0,0.03%,27.74,38.23,38.33,3210.74,28.64,9.8,48.4,54.44,4017
"Pima County, AZ",4019.0,9836.0,0.27,28.76,38.42,38.49,3233.71,27.84,10.59,52.21,49.25,9836.0,0.27%,28.76,38.42,38.49,3233.71,27.84,10.59,52.21,49.25,4019
"Pinal County, AZ",4021.0,4785.0,0.13,28.02,38.44,38.64,3309.96,28.56,11.88,49.49,56.22,4785.0,0.13%,28.02,38.44,38.64,3309.96,28.56,11.88,49.49,56.22,4021
"Yavapai County, AZ",4025.0,1705.0,0.05,28.1,38.57,38.79,3268.12,27.02,11.15,48.62,57.74,1705.0,0.05%,28.1,38.57,38.79,3268.12,27.02,11.15,48.62,57.74,4025
"Yuma County, AZ",4027.0,2850.0,0.08,27.6,38.42,38.65,3306.66,29.2,9.16,53.33,55.37,2850.0,0.08%,27.6,38.42,38.65,3306.66,29.2,9.16,53.33,55.37,4027
"Unidentified Counties, AZ",4999.0,2477.0,0.07,27.29,38.21,38.39,3238.15,28.41,9.35,50.19,59.19,2477.0,0.07%,27.29,38.21,38.39,3238.15,28.41,9.35,50.19,59.19,4999
"Benton County, AR",5007.0,3710.0,0.1,28.88,38.32,38.55,3282.27,27.87,10.39,47.92,44.07,3710.0,0.10%,28.88,38.32,38.55,3282.27,27.87,10.39,47.92,44.07,5007
"Faulkner County, AR",5045.0,1450.0,0.04,28.04,38.17,38.36,3250.01,29.05,10.97,48.98,47.3,1450.0,0.04%,28.04,38.17,38.36,3250.01,29.05,10.97,48.98,47.3,5045
"Pulaski County, AR",5119.0,4938.0,0.14,28.22,37.96,38.11,3128.51,28.69,9.34,48.17,47.86,4938.0,0.14%,28.22,37.96,38.11,3128.51,28.69,9.34,48.17,47.86,5119
"Saline County, AR",5125.0,1405.0,0.04,28.11,38.01,38.25,3208.73,28.73,10.2,54.16,43.68,1405.0,0.04%,28.11,38.01,38.25,3208.73,28.73,10.2,54.16,43.68,5125
"Sebastian County, AR",5131.0,1607.0,0.04,27.18,38.33,38.54,3271.29,28.58,9.45,49.46,47.27,1607.0,0.04%,27.18,38.33,38.54,3271.29,28.58,9.45,49.46,47.27,5131
"Washington County, AR",5143.0,3139.0,0.09,28.3,38.31,38.54,3273.81,28.3,10.17,45.72,43.14,3139.0,0.09%,28.3,38.31,38.54,3273.81,28.3,10.17,45.72,43.14,5143
"Unidentified Counties, AR",5999.0,19198.0,0.53,26.59,38.1,38.31,3206.8,29.02,10.2,47.88,45.85,19198.0,0.53%,26.59,38.1,38.31,3206.8,29.02,10.2,47.88,45.85,5999
"Alameda County, CA",6001.0,16590.0,0.46,32.11,38.57,38.68,3257.29,26.44,10.69,56.11,35.79,16590.0,0.46%,32.11,38.57,38.68,3257.29,26.44,10.69,56.11,35.79,6001
"Butte County, CA",6007.0,2023.0,0.06,29.41,38.56,38.66,3312.36,27.97,10.6,51.6,38.72,2023.0,0.06%,29.41,38.56,38.66,3312.36,27.97,10.6,51.6,38.72,6007
"Contra Costa County, CA",6013.0,11695.0,0.32,31.63,38.48,38.63,3291.13,27.65,11.16,55.34,38.31,11695.0,0.32%,31.63,38.48,38.63,3291.13,27.65,11.16,55.34,38.31,6013
"El Dorado County, CA",6017.0,1565.0,0.04,31.15,38.76,38.87,3343.41,26.46,11.12,47.73,36.08,1565.0,0.04%,31.15,38.76,38.87,3343.41,26.46,11.12,47.73,36.08,6017
"Fresno County, CA",6019.0,13821.0,0.38,28.8,38.38,38.4,3263.5,28.92,12.17,52.98,42.73,13821.0,0.38%,28.8,38.38,38.4,3263.5,28.92,12.17,52.98,42.73,6019
"Humboldt County, CA",6023.0,1226.0,0.03,29.85,38.78,38.9,3387.16,27.5,11.48,50.47,38.08,1226.0,0.03%,29.85,38.78,38.9,3387.16,27.5,11.48,50.47,38.08,6023
"Imperial County, CA",6025.0,2365.0,0.07,28.52,38.27,38.78,3273.17,28.74,9.5,58.8,51.79,2365.0,0.07%,28.52,38.27,38.78,3273.17,28.74,9.5,58.8,51.79,6025
"Kern County, CA",6029.0,12394.0,0.34,28.33,38.52,38.55,3278.88,28.75,11.57,53.64,47.74,12394.0,0.34%,28.33,38.52,38.55,3278.88,28.75,11.57,53.64,47.74,6029
"Kings County, CA",6031.0,2142.0,0.06,28.15,38.41,38.58,3285.69,29.49,13.03,53.08,43.93,2142.0,0.06%,28.15,38.41,38.58,3285.69,29.49,13.03,53.08,43.93,6031
"Los Angeles County, CA",6037.0,95343.0,2.64,30.88,38.48,38.56,3254.85,27.13,11.58,56.71,39.83,95343.0,2.64%,30.88,38.48,38.56,3254.85,27.13,11.58,56.71,39.83,6037
"Madera County, CA",6039.0,2006.0,0.06,28.89,38.55,38.56,3306.57,29.17,10.78,56.27,49.2,2006.0,0.06%,28.89,38.55,38.56,3306.57,29.17,10.78,56.27,49.2,6039
"Marin County, CA",6041.0,2297.0,0.06,33.51,38.74,38.78,3333.56,24.99,10.17,53.93,32.88,2297.0,0.06%,33.51,38.74,38.78,3333.56,24.99,10.17,53.93,32.88,6041
"Merced County, CA",6047.0,3828.0,0.11,28.47,38.5,38.58,3305.88,29.57,10.73,55.18,52.28,3828.0,0.11%,28.47,38.5,38.58,3305.88,29.57,10.73,55.18,52.28,6047
"Monterey County, CA",6053.0,5344.0,0.15,29.24,38.54,38.53,3306.88,28.3,11.63,58.11,49.4,5344.0,0.15%,29.24,38.54,38.53,3306.88,28.3,11.63,58.11,49.4,6053
"Napa County, CA",6055.0,1179.0,0.03,31.19,38.65,38.82,3310.5,27.38,11.51,57.57,40.47,1179.0,0.03%,31.19,38.65,38.82,3310.5,27.38,11.51,57.57,40.47,6055
"Orange County, CA",6059.0,30431.0,0.84,31.4,38.49,38.6,3272.78,26.11,12.4,51.93,36.88,30431.0,0.84%,31.4,38.49,38.6,3272.78,26.11,12.4,51.93,36.88,6059
"Placer County, CA",6061.0,3746.0,0.1,31.12,38.72,38.76,3376.37,26.5,11.75,48.32,39.05,3746.0,0.10%,31.12,38.72,38.76,3376.37,26.5,11.75,48.32,39.05,6061
"Riverside County, CA",6065.0,27022.0,0.75,29.5,38.48,38.57,3282.06,28.05,11.24,54.78,45.59,27022.0,0.75%,29.5,38.48,38.57,3282.06,28.05,11.24,54.78,45.59,6065
"Sacramento County, CA",6067.0,18051.0,0.5,30.23,38.56,38.7,3310.95,27.7,11.22,52.23,41.36,18051.0,0.50%,30.23,38.56,38.7,3310.95,27.7,11.22,52.23,41.36,6067
"San Bernardino County, CA",6071.0,26305.0,0.73,29.09,38.37,38.41,3239.61,28.22,10.96,54.7,44.0,26305.0,0.73%,29.09,38.37,38.41,3239.61,28.22,10.96,54.7,44.0,6071
"San Diego County, CA",6073.0,37018.0,1.03,30.69,38.57,38.61,3298.91,26.49,11.65,51.61,38.94,37018.0,1.03%,30.69,38.57,38.61,3298.91,26.49,11.65,51.61,38.94,6073
"San Francisco County, CA",6075.0,7268.0,0.2,33.68,38.62,38.68,3248.05,24.56,11.15,50.34,30.78,7268.0,0.20%,33.68,38.62,38.68,3248.05,24.56,11.15,50.34,30.78,6075
"San Joaquin County, CA",6077.0,9611.0,0.27,29.4,38.48,38.6,3287.45,28.56,11.24,55.08,45.19,9611.0,0.27%,29.4,38.48,38.6,3287.45,28.56,11.24,55.08,45.19,6077
"San Luis Obispo County, CA",6079.0,2390.0,0.07,30.66,38.53,38.55,3336.04,26.53,12.54,50.03,38.51,2390.0,0.07%,30.66,38.53,38.55,3336.04,26.53,12.54,50.03,38.51,6079
"San Mateo County, CA",6081.0,7302.0,0.2,32.75,38.51,38.62,3263.24,25.57,11.1,52.53,35.51,7302.0,0.20%,32.75,38.51,38.62,3263.24,25.57,11.1,52.53,35.51,6081
"Santa Barbara County, CA",6083.0,5381.0,0.15,29.56,38.56,38.12,3294.47,27.27,12.05,56.88,44.21,5381.0,0.15%,29.56,38.56,38.12,3294.47,27.27,12.05,56.88,44.21,6083
"Santa Clara County, CA",6085.0,18684.0,0.52,31.93,38.45,38.48,3230.91,25.9,11.65,54.5,34.08,18684.0,0.52%,31.93,38.45,38.48,3230.91,25.9,11.65,54.5,34.08,6085
"Santa Cruz County, CA",6087.0,2236.0,0.06,31.55,38.7,38.87,3342.31,27.06,12.23,56.95,39.45,2236.0,0.06%,31.55,38.7,38.87,3342.31,27.06,12.23,56.95,39.45,6087
"Shasta County, CA",6089.0,1830.0,0.05,28.81,38.69,38.82,3341.84,27.2,10.59,47.75,39.5,1830.0,0.05%,28.81,38.69,38.82,3341.84,27.2,10.59,47.75,39.5,6089
"Solano County, CA",6095.0,4847.0,0.13,30.18,38.51,38.64,3309.3,28.38,10.88,56.03,40.06,4847.0,0.13%,30.18,38.51,38.64,3309.3,28.38,10.88,56.03,40.06,6095
"Sonoma County, CA",6097.0,4460.0,0.12,31.18,38.74,38.92,3360.31,27.39,10.79,56.03,36.32,4460.0,0.12%,31.18,38.74,38.92,3360.31,27.39,10.79,56.03,36.32,6097
"Stanislaus County, CA",6099.0,7271.0,0.2,28.91,38.55,38.65,3322.64,29.31,11.57,54.21,43.78,7271.0,0.20%,28.91,38.55,38.65,3322.64,29.31,11.57,54.21,43.78,6099
"Tulare County, CA",6107.0,6756.0,0.19,28.2,38.4,38.52,3293.19,28.9,11.94,54.67,44.26,6756.0,0.19%,28.2,38.4,38.52,3293.19,28.9,11.94,54.67,44.26,6107
"Ventura County, CA",6111.0,8555.0,0.24,30.71,38.6,38.66,3298.21,27.38,11.51,54.91,46.75,8555.0,0.24%,30.71,38.6,38.66,3298.21,27.38,11.51,54.91,46.75,6111
"Yolo County, CA",6113.0,1918.0,0.05,30.66,38.66,38.79,3356.05,27.91,11.58,52.26,38.84,1918.0,0.05%,30.66,38.66,38.79,3356.05,27.91,11.58,52.26,38.84,6113
"Unidentified Counties, CA",6999.0,9917.0,0.28,29.11,38.58,38.72,3321.11,27.95,11.22,51.28,42.58,9917.0,0.28%,29.11,38.58,38.72,3321.11,27.95,11.22,51.28,42.58,6999
"Adams County, CO",8001.0,6121.0,0.17,29.18,38.44,38.56,3177.41,27.9,10.26,52.12,45.76,6121.0,0.17%,29.18,38.44,38.56,3177.41,27.9,10.26,52.12,45.76,8001
"Arapahoe County, CO",8005.0,7539.0,0.21,30.27,38.39,38.53,3165.0,26.94,10.15,49.21,42.9,7539.0,0.21%,30.27,38.39,38.53,3165.0,26.94,10.15,49.21,42.9,8005
"Boulder County, CO",8013.0,2517.0,0.07,31.93,38.75,38.78,3221.81,25.46,10.58,45.53,39.71,2517.0,0.07%,31.93,38.75,38.78,3221.81,25.46,10.58,45.53,39.71,8013
"Denver County, CO",8031.0,9080.0,0.25,30.8,38.52,38.63,3158.56,26.12,10.0,49.04,43.26,9080.0,0.25%,30.8,38.52,38.63,3158.56,26.12,10.0,49.04,43.26,8031
"Douglas County, CO",8035.0,3726.0,0.1,31.73,38.44,38.55,3189.89,25.38,11.14,42.86,41.15,3726.0,0.10%,31.73,38.44,38.55,3189.89,25.38,11.14,42.86,41.15,8035
"El Paso County, CO",8041.0,9178.0,0.25,28.67,38.22,38.37,3155.81,27.23,9.64,45.61,43.16,9178.0,0.25%,28.67,38.22,38.37,3155.81,27.23,9.64,45.61,43.16,8041
"Jefferson County, CO",8059.0,5481.0,0.15,31.65,38.55,38.62,3190.42,25.6,10.32,44.84,41.96,5481.0,0.15%,31.65,38.55,38.62,3190.42,25.6,10.32,44.84,41.96,8059
"Larimer County, CO",8069.0,3072.0,0.09,30.65,38.39,38.46,3193.18,26.34,12.3,46.84,47.5,3072.0,0.09%,30.65,38.39,38.46,3193.18,26.34,12.3,46.84,47.5,8069
"Mesa County, CO",8077.0,1498.0,0.04,28.48,38.37,38.62,3199.55,27.45,11.19,47.57,48.31,1498.0,0.04%,28.48,38.37,38.62,3199.55,27.45,11.19,47.57,48.31,8077
"Pueblo County, CO",8101.0,1643.0,0.05,27.53,38.38,38.48,3151.3,28.56,11.28,51.66,45.82,1643.0,0.05%,27.53,38.38,38.48,3151.3,28.56,11.28,51.66,45.82,8101
"Weld County, CO",8123.0,4465.0,0.12,28.92,38.46,38.51,3215.86,27.6,11.53,47.85,48.49,4465.0,0.12%,28.92,38.46,38.51,3215.86,27.6,11.53,47.85,48.49,8123
"Unidentified Counties, CO",8999.0,7741.0,0.21,29.43,38.44,38.57,3166.34,26.72,10.53,49.36,50.71,7741.0,0.21%,29.43,38.44,38.57,3166.34,26.72,10.53,49.36,50.71,8999
"Fairfield County, CT",9001.0,10073.0,0.28,32.04,38.57,38.74,3292.82,26.07,12.5,53.65,49.59,10073.0,0.28%,32.04,38.57,38.74,3292.82,26.07,12.5,53.65,49.59,9001
"Hartford County, CT",9003.0,8941.0,0.25,30.52,38.31,38.54,3245.77,27.63,12.1,53.28,50.85,8941.0,0.25%,30.52,38.31,38.54,3245.77,27.63,12.1,53.28,50.85,9003
"Litchfield County, CT",9005.0,1486.0,0.04,30.97,38.5,38.68,3336.11,27.29,12.89,49.27,47.51,1486.0,0.04%,30.97,38.5,38.68,3336.11,27.29,12.89,49.27,47.51,9005
"Middlesex County, CT",9007.0,1360.0,0.04,31.62,38.47,38.6,3317.61,26.87,12.24,47.04,51.07,1360.0,0.04%,31.62,38.47,38.6,3317.61,26.87,12.24,47.04,51.07,9007
"New Haven County, CT",9009.0,8587.0,0.24,30.48,38.4,38.65,3255.04,27.87,12.24,55.47,48.4,8587.0,0.24%,30.48,38.4,38.65,3255.04,27.87,12.24,55.47,48.4,9009
"New London County, CT",9011.0,2479.0,0.07,30.05,38.47,38.68,3287.2,27.68,12.31,51.05,52.33,2479.0,0.07%,30.05,38.47,38.68,3287.2,27.68,12.31,51.05,52.33,9011
"Tolland County, CT",9013.0,1168.0,0.03,30.85,38.6,38.82,3336.26,27.39,12.04,48.42,56.49,1168.0,0.03%,30.85,38.6,38.82,3336.26,27.39,12.04,48.42,56.49,9013
"Windham County, CT",9015.0,1032.0,0.03,29.34,38.28,38.58,3286.07,28.3,11.84,52.63,49.51,1032.0,0.03%,29.34,38.28,38.58,3286.07,28.3,11.84,52.63,49.51,9015
"Kent County, DE",10001.0,2054.0,0.06,28.61,38.19,38.46,3210.51,28.72,10.29,49.79,46.6,2054.0,0.06%,28.61,38.19,38.46,3210.51,28.72,10.29,49.79,46.6,10001
"New Castle County, DE",10003.0,5962.0,0.17,30.08,38.27,38.49,3226.65,28.51,10.65,55.63,46.63,5962.0,0.17%,30.08,38.27,38.49,3226.65,28.51,10.65,55.63,46.63,10003
"Sussex County, DE",10005.0,2261.0,0.06,28.39,38.27,38.56,3245.91,27.88,10.29,53.18,50.2,2261.0,0.06%,28.39,38.27,38.56,3245.91,27.88,10.29,53.18,50.2,10005
"District of Columbia, DC",11001.0,8531.0,0.24,31.43,38.43,38.48,3206.19,26.53,10.07,51.9,51.81,8531.0,0.24%,31.43,38.43,38.48,3206.19,26.53,10.07,51.9,51.81,11001
"Alachua County, FL",12001.0,2566.0,0.07,29.47,38.28,38.46,3199.05,27.41,10.3,50.38,42.7,2566.0,0.07%,29.47,38.28,38.46,3199.05,27.41,10.3,50.38,42.7,12001
"Bay County, FL",12005.0,2096.0,0.06,28.0,38.34,38.62,3269.14,27.9,10.06,52.71,50.61,2096.0,0.06%,28.0,38.34,38.62,3269.14,27.9,10.06,52.71,50.61,12005
"Brevard County, FL",12009.0,4991.0,0.14,29.18,38.28,38.61,3252.06,27.33,8.72,50.64,54.32,4991.0,0.14%,29.18,38.28,38.61,3252.06,27.33,8.72,50.64,54.32,12009
"Broward County, FL",12011.0,20181.0,0.56,30.87,38.2,38.33,3182.84,26.82,9.98,58.8,55.51,20181.0,0.56%,30.87,38.2,38.33,3182.84,26.82,9.98,58.8,55.51,12011
"Charlotte County, FL",12015.0,1093.0,0.03,28.74,38.4,38.65,3280.88,27.87,10.62,52.79,59.62,1093.0,0.03%,28.74,38.4,38.65,3280.88,27.87,10.62,52.79,59.62,12015
"Citrus County, FL",12017.0,1027.0,0.03,27.99,38.46,38.83,3284.86,28.14,9.66,52.0,57.04,1027.0,0.03%,27.99,38.46,38.83,3284.86,28.14,9.66,52.0,57.04,12017
"Clay County, FL",12019.0,2199.0,0.06,29.03,38.23,38.49,3248.7,28.33,9.0,57.4,51.08,2199.0,0.06%,29.03,38.23,38.49,3248.7,28.33,9.0,57.4,51.08,12019
"Collier County, FL",12021.0,3174.0,0.09,29.68,38.35,38.52,3261.61,27.26,10.11,56.1,61.09,3174.0,0.09%,29.68,38.35,38.52,3261.61,27.26,10.11,56.1,61.09,12021
"Duval County, FL",12031.0,12443.0,0.35,29.01,38.2,38.38,3195.51,28.07,8.49,52.13,45.43,12443.0,0.35%,29.01,38.2,38.38,3195.51,28.07,8.49,52.13,45.43,12031
"Escambia County, FL",12033.0,3778.0,0.1,28.02,37.96,38.23,3170.53,27.94,10.45,47.62,52.55,3778.0,0.10%,28.02,37.96,38.23,3170.53,27.94,10.45,47.62,52.55,12033
"Hernando County, FL",12053.0,1607.0,0.04,28.39,38.23,38.47,3249.88,27.81,9.61,51.15,47.1,1607.0,0.04%,28.39,38.23,38.47,3249.88,27.81,9.61,51.15,47.1,12053
"Hillsborough County, FL",12057.0,16978.0,0.47,29.5,38.27,38.46,3209.4,27.44,9.63,53.72,54.27,16978.0,0.47%,29.5,38.27,38.46,3209.4,27.44,9.63,53.72,54.27,12057
"Indian River County, FL",12061.0,1236.0,0.03,29.28,38.3,38.5,3260.87,27.92,11.57,53.91,48.16,1236.0,0.03%,29.28,38.3,38.5,3260.87,27.92,11.57,53.91,48.16,12061
"Lake County, FL",12069.0,3389.0,0.09,28.72,38.26,38.44,3243.08,27.82,8.61,52.18,54.23,3389.0,0.09%,28.72,38.26,38.44,3243.08,27.82,8.61,52.18,54.23,12069
"Lee County, FL",12071.0,7179.0,0.2,29.01,38.24,38.48,3222.91,27.79,9.86,53.96,48.95,7179.0,0.20%,29.01,38.24,38.48,3222.91,27.79,9.86,53.96,48.95,12071
"Leon County, FL",12073.0,2774.0,0.08,29.06,38.21,38.4,3163.94,27.48,10.86,50.11,58.85,2774.0,0.08%,29.06,38.21,38.4,3163.94,27.48,10.86,50.11,58.85,12073
"Manatee County, FL",12081.0,3574.0,0.1,28.93,38.37,38.59,3241.28,27.43,11.27,50.34,56.39,3574.0,0.10%,28.93,38.37,38.59,3241.28,27.43,11.27,50.34,56.39,12081
"Marion County, FL",12083.0,3546.0,0.1,27.9,38.42,38.66,3251.44,28.55,9.27,52.63,56.55,3546.0,0.10%,27.9,38.42,38.66,3251.44,28.55,9.27,52.63,56.55,12083
"Martin County, FL",12085.0,1245.0,0.03,29.85,38.58,38.71,3292.79,26.74,10.69,50.35,55.2,1245.0,0.03%,29.85,38.58,38.71,3292.79,26.74,10.69,50.35,55.2,12085
"Miami-Dade County, FL",12086.0,27917.0,0.77,30.69,38.33,38.28,3242.17,26.43,10.16,60.68,60.28,27917.0,0.77%,30.69,38.33,38.28,3242.17,26.43,10.16,60.68,60.28,12086
"Okaloosa County, FL",12091.0,2659.0,0.07,28.51,38.1,38.41,3234.89,27.13,11.5,49.81,53.48,2659.0,0.07%,28.51,38.1,38.41,3234.89,27.13,11.5,49.81,53.48,12091
"Orange County, FL",12095.0,15583.0,0.43,29.99,38.23,38.33,3206.94,27.2,7.51,56.16,53.76,15583.0,0.43%,29.99,38.23,38.33,3206.94,27.2,7.51,56.16,53.76,12095
"Osceola County, FL",12097.0,4613.0,0.13,29.18,38.19,38.43,3202.29,27.5,10.48,59.21,57.95,4613.0,0.13%,29.18,38.19,38.43,3202.29,27.5,10.48,59.21,57.95,12097
"Palm Beach County, FL",12099.0,14285.0,0.4,30.55,38.35,38.47,3218.44,26.86,10.66,56.51,56.1,14285.0,0.40%,30.55,38.35,38.47,3218.44,26.86,10.66,56.51,56.1,12099
"Pasco County, FL",12101.0,5248.0,0.15,29.36,38.34,38.52,3256.22,27.51,10.08,52.07,53.83,5248.0,0.15%,29.36,38.34,38.52,3256.22,27.51,10.08,52.07,53.83,12101
"Pinellas County, FL",12103.0,7285.0,0.2,29.9,38.4,38.53,3262.03,26.6,10.79,52.11,52.08,7285.0,0.20%,29.9,38.4,38.53,3262.03,26.6,10.79,52.11,52.08,12103
"Polk County, FL",12105.0,8411.0,0.23,28.27,38.32,38.59,3239.16,28.63,9.72,53.12,54.98,8411.0,0.23%,28.27,38.32,38.59,3239.16,28.63,9.72,53.12,54.98,12105
"St. Johns County, FL",12109.0,2349.0,0.07,31.12,38.49,38.74,3316.25,26.38,9.75,48.01,41.65,2349.0,0.07%,31.12,38.49,38.74,3316.25,26.38,9.75,48.01,41.65,12109
"St. Lucie County, FL",12111.0,3346.0,0.09,29.38,38.35,38.58,3236.81,28.3,10.27,54.61,62.77,3346.0,0.09%,29.38,38.35,38.58,3236.81,28.3,10.27,54.61,62.77,12111
"Santa Rosa County, FL",12113.0,2032.0,0.06,28.74,38.2,38.54,3280.68,27.13,11.55,48.11,51.68,2032.0,0.06%,28.74,38.2,38.54,3280.68,27.13,11.55,48.11,51.68,12113
"Sarasota County, FL",12115.0,2863.0,0.08,29.87,38.32,38.59,3258.32,26.51,11.43,52.97,64.79,2863.0,0.08%,29.87,38.32,38.59,3258.32,26.51,11.43,52.97,64.79,12115
"Seminole County, FL",12117.0,4383.0,0.12,30.4,38.36,38.55,3267.73,27.27,8.48,50.8,50.03,4383.0,0.12%,30.4,38.36,38.55,3267.73,27.27,8.48,50.8,50.03,12117
"Volusia County, FL",12127.0,4832.0,0.13,28.73,38.27,38.54,3236.49,27.45,9.29,52.09,52.78,4832.0,0.13%,28.73,38.27,38.54,3236.49,27.45,9.29,52.09,52.78,12127
"Unidentified Counties, FL",12999.0,12798.0,0.35,27.81,38.26,38.54,3237.88,28.39,9.79,52.4,49.95,12798.0,0.35%,27.81,38.26,38.54,3237.88,28.39,9.79,52.4,49.95,12999
"Bartow County, GA",13015.0,1305.0,0.04,28.04,38.42,38.79,3293.62,29.08,12.05,52.62,55.25,1305.0,0.04%,28.04,38.42,38.79,3293.62,29.08,12.05,52.62,55.25,13015
"Bibb County, GA",13021.0,2054.0,0.06,27.27,37.72,38.0,3054.48,29.14,11.08,49.38,43.98,2054.0,0.06%,27.27,37.72,38.0,3054.48,29.14,11.08,49.38,43.98,13021
